seq,t,hipYawDeg,shoulderYawDeg,block,gt
2,1789038808.2072,32.5691,25.0341,(gap),9999
3,1789038808.3174,32.5405,25.0266,(gap),9999
4,1789038808.4083,30.1757,25.0190,(gap),9999
5,1789038808.4451,30.3140,23.3166,(gap),9999
6,1789038808.4913,30.3791,21.7611,(gap),9999
7,1789038808.5375,30.4709,21.9625,(gap),9999
8,1789038808.5848,30.5626,20.5029,(gap),9999
9,1789038808.6172,30.6270,20.7939,(gap),9999
10,1789038808.6489,28.3981,21.0609,(gap),9999
11,1789038808.6793,28.6105,19.6685,(gap),9999
12,1789038808.7253,28.7713,20.0251,(gap),9999
13,1789038808.7569,26.7314,18.7011,(gap),9999
14,1789038808.8020,26.9442,19.1520,(gap),9999
15,1789038808.8503,27.2753,17.8832,(gap),9999
16,1789038808.8926,27.5101,16.7328,(gap),9999
17,1789038808.9256,25.5704,15.6636,(gap),9999
18,1789038808.9571,25.9500,16.3415,(gap),9999
19,1789038808.9889,24.1239,15.2860,(gap),9999
20,1789038809.0345,22.4609,16.0014,(gap),9999
21,1789038809.0657,25.3109,16.6300,(gap),9999
22,1789038809.0970,25.7135,15.5271,(gap),9999
23,1789038809.1302,23.9087,14.5191,(gap),9999
24,1789038809.1765,22.2647,13.5935,(gap),9999
25,1789038809.2077,20.7740,12.7249,(gap),9999
26,1789038809.2534,19.4105,11.9213,(gap),9999
27,1789038809.2860,18.1154,11.1781,(gap),9999
28,1789038809.3175,16.9541,10.4969,(gap),9999
29,1789038809.3641,15.9234,9.8338,(gap),9999
30,1789038809.3958,14.9555,9.2260,(gap),9999
31,1789038809.4416,14.0104,8.6497,(gap),9999
32,1789038809.4877,10.8916,8.1354,(gap),9999
33,1789038809.5197,12.3833,7.6377,(gap),9999
34,1789038809.5665,9.4535,7.1480,(gap),9999
35,1789038809.6120,6.7852,6.7207,(gap),9999
36,1789038809.6451,4.3534,6.2668,(gap),9999
37,1789038809.6898,4.0971,7.4538,(gap),9999
38,1789038809.7368,3.8931,8.5032,(gap),9999
39,1789038809.7670,3.6984,7.8298,(gap),9999
40,1789038809.7982,3.4880,7.2569,(gap),9999
41,1789038809.8298,3.3344,6.7448,(gap),9999
42,1789038809.8745,3.1132,6.2885,(gap),9999
43,1789038809.9050,2.9468,5.8713,(gap),9999
44,1789038809.9376,2.7834,7.0496,(gap),9999
45,1789038809.9703,5.4325,8.1003,(gap),9999
46,1789038810.0161,5.1002,9.0338,(gap),9999
47,1789038810.0634,7.4716,9.8908,(gap),9999
48,1789038810.1087,7.0232,10.6726,(gap),9999
49,1789038810.1406,9.1833,11.3756,(gap),9999
50,1789038810.1717,8.6255,12.0242,(gap),9999
51,1789038810.2025,10.6667,12.6237,(gap),9999
52,1789038810.2466,10.0016,13.1800,(gap),9999
53,1789038810.2787,9.3993,13.6823,(gap),9999
54,1789038810.3103,11.3421,14.1042,(gap),9999
55,1789038810.3419,10.6230,14.4922,(gap),9999
56,1789038810.3743,9.9572,14.8452,(gap),9999
57,1789038810.4058,9.3543,15.2341,(gap),9999
58,1789038810.4354,8.7961,14.1760,(gap),9999
59,1789038810.4697,8.2385,13.2246,(gap),9999
60,1789038810.5143,7.7504,12.3511,(gap),9999
61,1789038810.5468,7.3016,11.5260,(gap),9999
62,1789038810.5786,6.8341,12.2955,(gap),9999
63,1789038810.6098,6.3883,12.9990,(gap),9999
64,1789038810.6553,5.9976,13.5815,(gap),9999
65,1789038810.6859,5.6512,14.1482,(gap),9999
66,1789038810.7168,5.2631,12.8973,(gap),9999
67,1789038810.7623,4.9885,11.8185,(gap),9999
68,1789038810.7946,4.6691,10.8891,(gap),9999
69,1789038810.8267,4.4070,10.0438,(gap),9999
70,1789038810.8586,4.1438,9.3214,(gap),9999
71,1789038810.9050,3.9227,8.6613,(gap),9999
72,1789038810.9370,3.6476,8.0776,(gap),9999
73,1789038810.9832,3.4847,7.5432,(gap),9999
74,1789038811.0285,3.2674,7.0402,(gap),9999
75,1789038811.0752,3.0500,6.5848,(gap),9999
76,1789038811.1207,2.8869,6.1672,(gap),9999
77,1789038811.1667,2.7186,5.7838,(gap),9999
78,1789038811.2151,2.5557,5.4090,(gap),9999
79,1789038811.2607,2.3927,5.0715,(gap),9999
80,1789038811.3076,2.2298,4.7743,(gap),9999
81,1789038811.3533,2.1251,4.4774,(gap),9999
82,1789038811.3847,2.0182,4.1992,(gap),9999
83,1789038811.4154,1.9128,3.9590,(gap),9999
84,1789038811.4455,1.7523,3.7191,(gap),9999
85,1789038811.4767,1.6992,3.4976,(gap),9999
86,1789038811.5082,1.5881,3.2762,(gap),9999
87,1789038811.5398,1.4800,3.0743,(gap),9999
88,1789038811.5706,1.3705,2.8907,(gap),9999
89,1789038811.6026,1.3169,2.7246,(gap),9999
90,1789038811.6476,1.2621,2.5610,(gap),9999
91,1789038811.6799,1.1535,2.4141,(gap),9999
92,1789038811.7111,1.0975,2.2672,(gap),9999
93,1789038811.7433,1.0416,2.1380,(gap),9999
94,1789038811.7754,0.9878,2.0096,(gap),9999
95,1789038811.8207,0.9329,1.8830,(gap),9999
96,1789038813.0212,0.8780,1.7768,(gap),9999
97,1789038813.0518,0.8232,3.5133,(gap),9999
98,1789038813.0969,0.7690,3.3178,(gap),9999
99,1789038813.1297,0.7134,3.1174,(gap),9999
100,1789038813.1631,0.6585,2.8195,(gap),9999
101,1789038813.2053,0.6585,2.6026,(gap),9999
102,1789038813.2374,0.6031,2.4285,(gap),9999
103,1789038813.2682,0.5483,3.9641,(gap),9999
104,1789038813.3023,0.5483,3.7162,(gap),9999
105,1789038813.3364,0.4934,3.4660,(gap),9999
106,1789038813.3792,0.4390,3.2710,(gap),9999
107,1789038813.4103,0.4386,4.7821,(gap),9999
108,1789038813.4420,0.4386,6.1702,(gap),9999
109,1789038813.4875,0.3842,5.7698,(gap),9999
110,1789038813.5187,0.3838,5.4050,(gap),9999
111,1789038813.5518,0.3287,5.0577,(gap),9999
112,1789038813.5812,0.3290,4.7466,(gap),9999
113,1789038813.6139,0.3290,4.4718,(gap),9999
114,1789038813.6456,0.2744,4.0645,(gap),9999
115,1789038813.6774,0.2744,5.4959,(gap),9999
116,1789038813.7087,0.2747,5.1506,(gap),9999
117,1789038813.7394,0.2195,4.7022,(gap),9999
118,1789038813.7712,0.2193,4.3944,(gap),9999
119,1789038813.8030,0.2193,4.1055,(gap),9999
120,1789038813.8371,0.2191,3.8339,(gap),9999
121,1789038813.8815,0.1643,5.3228,(gap),9999
122,1789038813.9121,0.1645,4.8559,(gap),9999
123,1789038814.5319,0.1643,2.7954,(gap),9999
124,1789038814.5622,0.1640,2.6210,(gap),9999
125,1789038814.5958,0.1640,2.4823,(gap),9999
126,1789038814.6301,0.1642,2.3233,(gap),9999
127,1789038814.6730,0.1093,2.1818,(gap),9999
128,1789038814.7032,0.1093,2.0547,(gap),9999
129,1789038814.7359,0.1093,1.9279,(gap),9999
130,1789038814.7819,0.1093,1.8168,(gap),9999
131,1789038814.8144,0.1091,1.7039,(gap),9999
132,1789038814.8465,0.1091,1.5911,(gap),9999
133,1789038814.8929,0.1090,1.5173,(gap),9999
134,1789038814.9373,0.1089,3.1767,(gap),9999
135,1789038814.9707,0.0545,2.9910,(gap),9999
136,1789038815.0167,0.0545,2.7854,(gap),9999
137,1789038815.0468,0.0545,2.6180,(gap),9999
138,1789038815.0776,0.0545,2.4699,(gap),9999
139,1789038815.1229,0.0545,2.3042,(gap),9999
140,1789038815.1544,0.0545,2.1771,(gap),9999
141,1789038815.1857,0.0546,2.0468,(gap),9999
142,1789038815.2178,0.0547,1.9206,(gap),9999
143,1789038815.2481,0.0548,1.8304,(gap),9999
144,1789038815.2793,0.0548,1.7195,(gap),9999
145,1789038815.3097,0.0550,1.6076,(gap),9999
146,1789038815.3415,0.0551,1.5347,(gap),9999
147,1789038815.3732,0.0552,1.4215,(gap),9999
148,1789038815.4022,0.0553,1.3483,(gap),9999
149,1789038815.4358,0.0554,1.2743,(gap),9999
150,1789038815.4692,0.0556,1.1971,(gap),9999
151,1789038815.5114,0.0557,1.1199,(gap),9999
152,1789038815.5431,0.0558,-0.5202,(gap),9999
153,1789038815.5747,0.0000,-2.0166,(gap),9999
154,1789038815.6054,0.0000,-1.9239,(gap),9999
155,1789038815.6369,0.0000,-3.2831,(gap),9999
156,1789038815.6702,0.0000,-3.0744,(gap),9999
157,1789038815.7142,0.0000,-4.3430,(gap),9999
158,1789038815.7474,0.0000,-4.0802,(gap),9999
159,1789038815.7783,0.0000,-3.8357,(gap),9999
160,1789038815.8094,0.0000,-3.6123,(gap),9999
161,1789038815.8406,0.0000,-4.8669,(gap),9999
162,1789038815.8720,0.0000,-4.5548,(gap),9999
163,1789038815.9036,0.0000,-4.2776,(gap),9999
164,1789038815.9363,0.0000,-4.0293,(gap),9999
165,1789038815.9822,0.0000,-3.7807,(gap),9999
166,1789038816.0274,0.0000,-3.5499,(gap),9999
167,1789038816.0733,0.0000,-3.3370,(gap),9999
168,1789038816.1050,0.0000,-3.1263,(gap),9999
169,1789038816.1362,0.0000,-2.9569,(gap),9999
170,1789038816.1694,0.0000,-2.7612,(gap),9999
171,1789038816.2141,0.0000,-2.6078,(gap),9999
172,1789038816.2457,0.0000,-2.4551,(gap),9999
173,1789038816.2781,0.0000,-2.3022,(gap),9999
174,1789038816.3098,0.0000,-2.1669,(gap),9999
175,1789038816.3400,0.0000,-2.0516,(gap),9999
176,1789038816.3713,0.0000,-1.9162,(gap),9999
177,1789038816.4030,0.0000,-1.8002,(gap),9999
178,1789038816.4486,0.0000,-1.7012,(gap),9999
179,1789038816.4808,0.0000,-1.6029,(gap),9999
180,1789038816.5111,0.0000,-1.4876,(gap),9999
181,1789038816.5422,0.0000,-1.4099,(gap),9999
182,1789038816.5725,0.0000,-1.3354,(gap),9999
183,1789038816.6032,0.0000,-1.2622,(gap),9999
184,1789038816.6366,0.0000,-1.1890,(gap),9999
185,1789038816.6788,0.0000,-1.1141,(gap),9999
186,1789038816.7107,0.0000,-1.0391,(gap),9999
187,1789038816.7419,0.0000,-1.0030,(gap),9999
188,1789038816.7717,0.0000,-0.9453,(gap),9999
189,1789038816.8038,0.0000,-0.8884,(gap),9999
190,1789038816.8370,0.0000,-0.8312,(gap),9999
191,1789038816.8811,0.0000,-0.7927,(gap),9999
192,1789038816.9131,0.0000,-0.7340,(gap),9999
193,1789038816.9437,0.0000,-0.6943,(gap),9999
194,1789038816.9768,0.0000,-0.6547,(gap),9999
195,1789038817.0071,0.0000,-0.6152,(gap),9999
196,1789038817.0389,0.0000,-0.5956,(gap),9999
197,1789038817.0702,0.0000,-2.1350,(gap),9999
198,1789038817.1018,0.0000,-2.0207,(gap),9999
199,1789038817.1480,0.0000,-1.9039,(gap),9999
200,1789038817.1780,0.0000,-1.7837,(gap),9999
201,1789038817.2097,0.0000,-1.6812,(gap),9999
202,1789038817.2398,0.0000,-1.5551,(gap),9999
203,1789038817.2716,0.0000,-1.4723,(gap),9999
204,1789038817.3033,0.0000,-1.3723,(gap),9999
205,1789038817.3366,0.0000,-3.1659,(gap),9999
206,1789038817.3801,0.0000,-4.7210,(gap),9999
207,1789038817.4102,0.0000,-4.4455,(gap),9999
208,1789038817.4416,0.0000,-4.1617,(gap),9999
209,1789038817.4727,0.0000,-5.6114,(gap),9999
210,1789038817.5038,0.0000,-5.2557,(gap),9999
211,1789038817.5359,0.0000,-4.9184,(gap),9999
212,1789038817.5801,0.0000,-6.2707,(gap),9999
213,1789038817.6123,0.0000,-7.4487,(gap),9999
214,1789038817.6426,0.0000,-6.9911,(gap),9999
215,1789038817.6753,0.0000,-6.5609,(gap),9999
216,1789038817.7059,0.0000,-6.1416,(gap),9999
217,1789038817.7380,0.0000,-5.7599,(gap),9999
218,1789038817.7689,0.0000,-5.4159,(gap),9999
219,1789038817.8031,0.0000,-5.0747,(gap),9999
220,1789038817.8485,0.0000,-6.3422,(gap),9999
221,1789038817.8810,0.0000,-5.9413,(gap),9999
222,1789038817.9112,0.0000,-7.0922,(gap),9999
223,1789038817.9424,0.0000,-6.6122,(gap),9999
224,1789038817.9731,0.0000,-6.2061,(gap),9999
225,1789038818.0048,0.0000,-7.2834,(gap),9999
226,1789038818.0360,0.0000,-6.8134,(gap),9999
227,1789038818.0694,0.0000,-6.3667,(gap),9999
228,1789038818.1117,0.0000,-5.9614,(gap),9999
229,1789038818.1428,0.0000,-5.5676,(gap),9999
230,1789038818.1745,0.0000,-5.2083,(gap),9999
231,1789038818.2052,0.0000,-4.8667,(gap),9999
232,1789038818.2373,0.0000,-4.5692,(gap),9999
233,1789038818.2690,0.0000,-4.2870,(gap),9999
234,1789038818.3031,0.0000,-4.0219,(gap),9999
235,1789038818.3469,0.0000,-3.7581,(gap),9999
236,1789038818.3795,0.0000,-3.5354,(gap),9999
237,1789038818.4112,0.0000,-3.3171,(gap),9999
238,1789038818.4431,0.0000,-3.1341,(gap),9999
239,1789038818.4728,0.0000,-2.9534,(gap),9999
240,1789038818.5050,0.0000,-1.1420,(gap),9999
241,1789038818.5367,0.0000,-1.0606,(gap),9999
242,1789038818.5699,0.0000,-1.0138,(gap),9999
243,1789038818.6169,0.0000,-0.9485,(gap),9999
244,1789038818.6601,0.0000,-0.9210,(gap),9999
245,1789038818.7062,0.0000,-0.8601,(gap),9999
246,1789038818.7369,0.0000,-0.8319,(gap),9999
247,1789038818.7843,0.0000,-0.7863,(gap),9999
248,1789038818.8306,0.0000,-0.7396,(gap),9999
249,1789038818.8778,0.0000,-0.6920,(gap),9999
250,1789038818.9239,0.0000,-0.6607,(gap),9999
251,1789038818.9695,0.0000,-0.6278,(gap),9999
252,1789038819.0001,0.0000,-0.5935,(gap),9999
253,1789038819.0302,0.0000,-0.5770,(gap),9999
254,1789038819.0626,0.0000,-0.5414,(gap),9999
255,1789038819.1074,0.0000,-0.5045,(gap),9999
256,1789038819.1396,0.0000,-0.4676,(gap),9999
257,1789038819.1857,0.0000,1.3720,(gap),9999
258,1789038819.2168,0.0000,3.0803,(gap),9999
259,1789038819.2473,0.0000,4.6329,(gap),9999
260,1789038819.2789,0.0000,4.3375,(gap),9999
261,1789038819.3111,0.0000,5.7980,(gap),9999
262,1789038819.3423,0.0000,7.1750,(gap),9999
263,1789038819.3865,0.0000,6.5030,(gap),9999
264,1789038819.4324,0.0000,5.9540,(gap),9999
265,1789038819.4786,2.6898,5.4521,(gap),9999
266,1789038819.5098,2.5277,5.0184,(gap),9999
267,1789038819.5571,2.3676,4.6278,(gap),9999
268,1789038819.6018,4.8786,4.2967,(gap),9999
269,1789038819.6335,7.1732,3.9693,(gap),9999
270,1789038819.6651,9.2436,3.7219,(gap),9999
271,1789038819.6953,8.2858,3.4533,(gap),9999
272,1789038819.7297,7.5187,3.2283,(gap),9999
273,1789038819.7748,6.8817,3.0387,(gap),9999
274,1789038819.8194,6.3102,2.8435,(gap),9999
275,1789038819.8512,5.7912,2.5668,(gap),9999
276,1789038819.8824,5.3407,2.4008,(gap),9999
277,1789038819.9121,4.9511,2.2733,(gap),9999
278,1789038819.9595,4.6167,2.0653,(gap),9999
279,1789038820.0054,4.2918,1.9005,(gap),9999
280,1789038820.0523,4.0245,1.7418,(gap),9999
281,1789038820.0972,3.7605,1.6251,(gap),9999
282,1789038820.1283,3.5528,1.5117,(gap),9999
283,1789038820.1752,3.3412,1.3994,(gap),9999
284,1789038820.2067,3.1231,1.3044,(gap),9999
285,1789038820.2395,2.9054,1.2123,(gap),9999
286,1789038820.2853,2.7416,1.1201,(gap),9999
287,1789038820.3160,2.5734,1.0643,(gap),9999
288,1789038820.3472,2.4060,0.9899,(gap),9999
289,1789038820.3782,2.2374,0.9162,(gap),9999
290,1789038820.4096,2.1231,0.8778,(gap),9999
291,1789038820.4413,1.9585,0.8228,(gap),9999
292,1789038820.4716,1.8476,0.7675,(gap),9999
293,1789038820.5028,1.7389,0.7304,(gap),9999
294,1789038820.5374,1.6291,0.6759,(gap),9999
295,1789038820.5806,1.5212,0.6456,(gap),9999
296,1789038820.6114,1.4138,0.5908,(gap),9999
297,1789038820.6437,1.3577,0.5410,(gap),9999
298,1789038820.6746,1.2499,0.5212,(gap),9999
299,1789038820.7069,1.1946,0.4696,(gap),9999
300,1789038820.7374,1.0878,0.4540,(gap),9999
301,1789038820.7695,1.0322,0.4202,(gap),9999
302,1789038820.8023,3.4982,0.4041,(gap),9999
303,1789038820.8472,5.7525,0.3871,(gap),9999
304,1789038820.8788,7.8370,0.3517,(gap),9999
305,1789038820.9090,7.2427,0.3341,(gap),9999
306,1789038820.9412,6.7282,0.3165,(gap),9999
307,1789038820.9756,8.7905,0.2987,(gap),9999
308,1789038821.0201,8.1525,0.2803,(gap),9999
309,1789038821.0515,7.5808,0.2618,(gap),9999
310,1789038821.0828,7.0732,0.2247,(gap),9999
311,1789038821.1134,9.1573,0.2251,(gap),9999
312,1789038821.1457,8.4309,0.2062,(gap),9999
313,1789038821.1902,7.7604,0.2062,(gap),9999
314,1789038821.2221,7.1914,0.1877,(gap),9999
315,1789038821.2538,9.3549,0.1691,(gap),9999
316,1789038821.2841,8.7254,0.1690,(gap),9999
317,1789038821.3153,8.1534,0.1690,(gap),9999
318,1789038821.3470,7.6457,0.1500,(gap),9999
319,1789038821.3772,7.1319,0.1496,(gap),9999
320,1789038821.4094,6.7229,0.1306,(gap),9999
321,1789038821.4405,6.2907,0.1303,(gap),9999
322,1789038821.4713,5.9177,0.1114,(gap),9999
323,1789038821.5032,5.5366,0.1112,(gap),9999
324,1789038821.5377,5.1995,0.1112,(gap),9999
325,1789038821.5805,4.9232,0.0925,(gap),9999
326,1789038821.6127,4.5807,0.0924,(gap),9999
327,1789038821.6449,4.2906,0.0923,(gap),9999
328,1789038821.6753,4.0615,0.0737,(gap),9999
329,1789038821.7056,3.7766,0.0737,(gap),9999
330,1789038821.7370,3.5482,0.0737,(gap),9999
331,1789038821.7828,3.3797,0.0737,(gap),9999
332,1789038821.8142,3.1517,0.0553,(gap),9999
333,1789038821.8453,2.9803,0.0553,(gap),9999
334,1789038821.8759,2.8064,0.0553,(gap),9999
335,1789038821.9076,2.6331,0.0369,(gap),9999
336,1789038821.9400,2.4604,0.0369,(gap),9999
337,1789038821.9717,2.2906,0.0554,(gap),9999
338,1789038822.0030,2.1747,0.0370,(gap),9999
339,1789038822.0368,2.0037,0.0555,(gap),9999
340,1789038822.0820,1.8888,1.8985,(gap),9999
341,1789038822.1117,1.7778,1.7817,(gap),9999
342,1789038822.1440,1.6667,1.6665,(gap),9999
343,1789038822.1743,1.6143,1.5278,(gap),9999
344,1789038822.2054,1.5045,1.4114,(gap),9999
345,1789038822.2374,1.3931,1.3331,(gap),9999
346,1789038822.2696,1.3374,1.2360,(gap),9999
347,1789038822.3146,1.2248,1.1577,(gap),9999
348,1789038822.3458,3.5128,1.0985,(gap),9999
349,1789038822.3761,3.3432,2.8276,(gap),9999
350,1789038822.4078,3.1139,4.4381,(gap),9999
351,1789038822.4395,2.9415,5.9186,(gap),9999
352,1789038822.4707,2.7693,5.5036,(gap),9999
353,1789038822.5016,2.5974,6.9343,(gap),9999
354,1789038822.5362,2.4282,8.2422,(gap),9999
355,1789038822.5786,2.3109,9.4528,(gap),9999
356,1789038822.6110,2.1377,8.6500,(gap),9999
357,1789038822.6423,2.0214,9.8023,(gap),9999
358,1789038822.6729,1.9054,10.8922,(gap),9999
359,1789038822.7041,1.7917,9.9955,(gap),9999
360,1789038822.7372,1.6765,11.0527,(gap),9999
361,1789038822.7702,1.5632,10.1770,(gap),9999
362,1789038822.8173,1.5030,11.2254,(gap),9999
363,1789038822.8475,1.3864,12.1932,(gap),9999
364,1789038822.8791,1.2730,11.1951,(gap),9999
365,1789038822.9108,1.2130,12.1793,(gap),9999
366,1789038822.9423,1.1535,11.1357,(gap),9999
367,1789038822.9732,1.0964,12.0745,(gap),9999
368,1789038823.0040,0.9859,12.9787,(gap),9999
369,1789038823.0375,0.9293,11.9641,(gap),9999
370,1789038823.0815,0.8738,12.8632,(gap),9999
371,1789038823.1132,0.8185,13.6910,(gap),9999
372,1789038823.1442,0.7617,14.4409,(gap),9999
373,1789038823.1769,2.9866,13.3294,(gap),9999
374,1789038823.2081,2.8048,12.3420,(gap),9999
375,1789038823.2393,4.8468,13.1761,(gap),9999
376,1789038823.2713,4.5386,13.9166,(gap),9999
377,1789038823.3022,4.2384,12.7078,(gap),9999
378,1789038823.3359,3.9452,11.7660,(gap),9999
379,1789038823.3690,3.7160,12.6507,(gap),9999
380,1789038823.4147,3.5013,11.7324,(gap),9999
381,1789038823.4457,3.2798,12.5815,(gap),9999
382,1789038823.4772,3.0616,11.6913,(gap),9999
383,1789038823.5083,2.8951,10.8919,(gap),9999
384,1789038823.5384,2.7289,11.8109,(gap),9999
385,1789038823.5706,2.5605,10.9990,(gap),9999
386,1789038823.6024,2.3837,10.2547,(gap),9999
387,1789038823.6358,2.2109,9.5851,(gap),9999
388,1789038823.6806,2.0933,8.9561,(gap),9999
389,1789038823.7121,1.9823,10.0274,(gap),9999
390,1789038823.7433,1.8234,10.9980,(gap),9999
391,1789038823.7758,1.7162,10.2436,(gap),9999
392,1789038823.8064,1.6090,9.5931,(gap),9999
393,1789038823.8374,3.7420,8.9688,(gap),9999
394,1789038823.8690,3.5223,10.0337,(gap),9999
395,1789038823.9029,3.3029,9.3953,(gap),9999
396,1789038823.9470,5.2931,8.8068,(gap),9999
397,1789038823.9788,7.0978,8.2508,(gap),9999
398,1789038824.0092,8.8007,7.7209,(gap),9999
399,1789038824.0417,8.2234,7.2238,(gap),9999
400,1789038824.0876,7.6637,6.7737,(gap),9999
401,1789038824.1187,9.3171,6.3484,(gap),9999
402,1789038824.1495,8.7462,5.9760,(gap),9999
403,1789038824.1795,8.1768,5.6239,(gap),9999
404,1789038824.2112,7.5653,5.2733,(gap),9999
405,1789038824.2432,9.2244,6.6796,(gap),9999
406,1789038824.2753,10.7294,6.2707,(gap),9999
407,1789038824.3052,9.9564,5.8636,(gap),9999
408,1789038824.3362,11.4410,5.5299,(gap),9999
409,1789038824.3695,10.6674,5.1726,(gap),9999
410,1789038824.4151,9.9085,4.8574,(gap),9999
411,1789038824.4468,9.2626,4.5606,(gap),9999
412,1789038824.4776,10.7998,4.2795,(gap),9999
413,1789038824.5077,12.2224,4.0355,(gap),9999
414,1789038824.5394,13.5389,3.7735,(gap),9999
415,1789038824.5703,12.6129,5.2829,(gap),9999
416,1789038824.6031,11.7098,6.6368,(gap),9999
417,1789038824.6483,10.9332,7.8708,(gap),9999
418,1789038824.6795,10.1727,8.9869,(gap),9999
419,1789038824.7103,11.6321,10.0175,(gap),9999
420,1789038824.7422,10.8917,9.3392,(gap),9999
421,1789038824.7738,10.1631,10.3309,(gap),9999
422,1789038824.8055,9.5341,11.2493,(gap),9999
423,1789038824.8511,8.9244,10.5034,(gap),9999
424,1789038824.8806,8.3770,9.8010,(gap),9999
425,1789038824.9129,7.8831,9.1944,(gap),9999
426,1789038824.9435,7.3820,8.6371,(gap),9999
427,1789038824.9759,6.9424,8.1223,(gap),9999
428,1789038825.0212,6.5090,7.6178,(gap),9999
429,1789038825.0526,6.1233,7.1640,(gap),9999
430,1789038825.0837,5.7432,6.7250,(gap),9999
431,1789038825.1156,5.4119,4.6926,(gap),9999
432,1789038825.1460,5.0857,4.4230,(gap),9999
433,1789038825.1772,4.8136,4.1640,(gap),9999
434,1789038825.2090,4.4825,3.9098,(gap),9999
435,1789038825.2406,4.2102,2.1322,(gap),9999
436,1789038825.2717,3.9922,2.0033,(gap),9999
437,1789038825.3025,3.7705,1.8754,(gap),9999
438,1789038825.3363,3.5525,1.7676,(gap),9999
439,1789038825.3816,3.3344,1.6592,(gap),9999
440,1789038825.4128,3.1132,1.5681,(gap),9999
441,1789038825.4448,2.9497,1.4746,(gap),9999
442,1789038825.4754,2.7861,1.3806,(gap),9999
443,1789038825.5050,4.8459,1.3050,(gap),9999
444,1789038825.5369,6.7066,1.2306,(gap),9999
445,1789038825.5700,6.3036,1.1742,(gap),9999
446,1789038825.6137,5.9080,1.0784,(gap),9999
447,1789038825.6446,5.5134,1.0220,(gap),9999
448,1789038825.6766,7.3789,0.9454,(gap),9999
449,1789038825.7074,6.8581,0.8890,(gap),9999
450,1789038825.7386,6.4619,0.8514,(gap),9999
451,1789038825.7696,8.2083,0.8133,(gap),9999
452,1789038825.8024,7.6857,0.7573,(gap),9999
453,1789038825.8479,7.1728,0.7199,(gap),9999
454,1789038825.8783,6.7227,0.6636,(gap),9999
455,1789038825.9104,8.4816,0.6450,(gap),9999
456,1789038825.9419,7.9041,0.6073,(gap),9999
457,1789038825.9731,7.3840,0.5690,(gap),9999
458,1789038826.0047,6.9343,0.5124,(gap),9999
459,1789038826.0365,8.6833,0.4936,(gap),9999
460,1789038826.0687,8.1145,0.4558,(gap),9999
461,1789038826.1134,7.6092,0.4559,(gap),9999
462,1789038826.1457,9.3082,0.4179,(gap),9999
463,1789038826.1759,8.6833,0.3991,(gap),9999
464,1789038826.2080,8.1145,0.3611,(gap),9999
465,1789038826.2408,7.6019,0.3422,(gap),9999
466,1789038826.2717,7.1522,0.3230,(gap),9999
467,1789038826.3029,6.7034,0.3041,(gap),9999
468,1789038826.3363,6.3100,0.2851,(gap),9999
469,1789038826.3813,5.9230,0.2851,(gap),9999
470,1789038826.4120,7.7255,0.2472,(gap),9999
471,1789038826.4450,9.4260,0.2469,(gap),9999
472,1789038826.4771,10.9628,0.2276,(gap),9999
473,1789038826.5063,10.2159,0.2086,(gap),9999
474,1789038826.5370,11.7006,0.2086,(gap),9999
475,1789038826.5690,10.9418,0.1707,(gap),9999
476,1789038826.6022,12.3492,0.1708,(gap),9999
477,1789038826.6465,11.4828,0.1710,(gap),9999
478,1789038826.6772,12.8873,0.1714,(gap),9999
479,1789038826.7091,12.0218,0.1527,(gap),9999
480,1789038826.7402,11.2131,0.1337,(gap),9999
481,1789038826.7712,10.4815,0.1338,(gap),9999
482,1789038826.8022,9.8141,0.1337,(gap),9999
483,1789038826.8475,9.1833,0.1144,(gap),9999
484,1789038826.8791,8.6173,0.1143,(gap),9999
485,1789038826.9102,8.0529,0.1141,(gap),9999
486,1789038826.9413,9.7507,0.0950,(gap),9999
487,1789038826.9734,9.1205,0.0951,(gap),9999
488,1789038827.0044,8.5551,0.0760,(gap),9999
489,1789038827.0362,8.0064,0.0760,(gap),9999
490,1789038827.0696,9.7338,0.0760,(gap),9999
491,1789038827.1114,11.3208,0.0570,(gap),9999
492,1789038827.1436,12.7698,0.0759,(gap),9999
493,1789038827.1764,14.0904,0.0570,(gap),9999
494,1789038827.2081,15.3681,0.0572,(gap),9999
495,1789038827.2384,14.2801,0.0574,(gap),9999
496,1789038827.2698,15.5752,0.0384,(gap),9999
497,1789038827.3019,14.4563,0.0576,(gap),9999
498,1789038827.3358,13.4675,0.0385,(gap),9999
499,1789038827.3808,12.5650,0.0579,(gap),9999
500,1789038827.4129,11.7456,0.0387,(gap),9999
501,1789038827.4436,11.0051,0.0387,(gap),9999
502,1789038827.4748,10.3197,0.0388,(gap),9999
503,1789038827.5066,11.9262,0.0388,(gap),9999
504,1789038827.5374,11.1562,0.0389,(gap),9999
505,1789038827.5695,10.4346,0.0389,(gap),9999
506,1789038827.6152,9.7276,0.0195,(gap),9999
507,1789038827.6470,9.1606,0.0195,(gap),9999
508,1789038827.6764,8.5857,0.0195,(gap),9999
509,1789038827.7086,8.0125,0.0195,(gap),9999
510,1789038827.7395,7.5726,0.0196,(gap),9999
511,1789038827.7699,7.0699,0.0196,(gap),9999
512,1789038827.8026,6.6710,0.0197,(gap),9999
513,1789038827.8363,6.2729,0.0197,(gap),9999
514,1789038827.8793,5.8814,0.0198,(gap),9999
